date,y,year,month,quarter,day_of_week,week_of_year,is_weekend,lag_1,lag_2,lag_3,lag_4,lag_8,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_12,rolling_std_12,diff_1,diff_12,pct_change_1,pct_change_12,month_sin,month_cos,quarter_sin,quarter_cos
2010-01-01,26879.628712871287,2010,1,1,4,53,0,,,,,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
2010-02-01,24370.86336633663,2010,2,1,0,5,0,26879.628712871287,,,,,,,,,,,,-2508.7653465346557,,-0.09333333333333338,,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2010-03-01,27954.813861386137,2010,3,1,0,9,0,24370.86336633663,26879.628712871287,,,,,26401.768646864686,1839.140551930242,,,,,3583.9504950495066,,0.1470588235294119,,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2010-04-01,25804.443564356432,2010,4,2,3,13,0,27954.813861386137,24370.86336633663,26879.628712871287,,,,26043.373597359732,1803.8821907886947,,,,,-2150.3702970297054,,-0.07692307692307698,,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0
2010-05-01,26879.628712871287,2010,5,2,5,17,1,25804.443564356432,27954.813861386137,24370.86336633663,26879.628712871287,,,26879.628712871287,1075.185148514851,,,,,1075.1851485148545,,0.04166666666666674,,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
2010-06-01,28671.60396039604,2010,6,2,1,22,0,26879.628712871287,25804.443564356432,27954.813861386137,24370.86336633663,,,27118.558745874587,1448.4363481553887,26760.163696369636,1531.7632792231266,,,1791.975247524755,,0.06666666666666687,,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2010-07-01,29388.394059405942,2010,7,3,3,26,0,28671.60396039604,26879.628712871287,25804.443564356432,27954.813861386137,,,28313.208910891088,1292.2117278625556,27178.291254125408,1874.8777422312787,,,716.7900990099006,,0.02499999999999991,,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16
2010-08-01,30463.579207920793,2010,8,3,6,30,1,29388.394059405942,28671.60396039604,26879.628712871287,25804.443564356432,,,29507.859075907592,901.9410953943521,28193.74389438944,1691.1791122217098,,,1075.1851485148509,,0.03658536585365857,,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16
2010-09-01,29746.789108910893,2010,9,3,2,35,0,30463.579207920793,29388.394059405942,28671.60396039604,26879.628712871287,26879.628712871287,,29866.254125412543,547.4574810179729,28492.406435643567,1795.55562121934,,,-716.7900990099006,,-0.02352941176470591,,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16
2010-10-01,31538.76435643564,2010,10,4,4,39,0,29746.789108910893,30463.579207920793,29388.394059405942,28671.60396039604,24370.86336633663,,30583.044224422443,901.9410953943552,29448.126567656767,1593.4143406034943,,,1791.9752475247478,,0.06024096385542155,,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0
2010-11-01,37631.4801980198,2010,11,4,0,44,0,31538.76435643564,29746.789108910893,30463.579207920793,29388.394059405942,27954.813861386137,,32972.34455445545,4133.213342035985,31240.101815181522,3280.1795678680246,,,6092.715841584162,,0.19318181818181834,,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0
2010-12-01,42649.01089108911,2010,12,4,2,48,0,37631.4801980198,31538.76435643564,29746.789108910893,30463.579207920793,25804.443564356432,,37273.08514851485,5563.787358789618,33569.6696369637,5381.49788891319,30164.916666666668,5184.261188923159,5017.530693069304,,0.1333333333333333,,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0
2011-01-01,28513.737623762376,2011,1,1,5,52,1,42649.01089108911,37631.4801980198,31538.76435643564,29746.789108910893,26879.628712871287,26879.628712871287,36264.742904290426,7166.063473627172,33423.89356435644,5527.286436009081,30301.092409240926,5111.066016922231,-14135.273267326731,1634.1089108910892,-0.3314326164192495,0.06079358194812401,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
2011-02-01,25852.45544554456,2011,2,1,1,5,0,28513.737623762376,42649.01089108911,37631.4801980198,31538.76435643564,28671.60396039604,24370.86336633663,32338.401320132016,9027.851793287202,32655.372937293727,6289.259846773754,30424.558415841584,4970.757964872151,-2661.2821782178144,1481.5920792079305,-0.09333333333333305,0.06079358194812445,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2011-03-01,29654.287128712873,2011,3,1,1,9,0,25852.45544554456,28513.737623762376,42649.01089108911,37631.4801980198,29388.394059405942,27954.813861386137,28006.82673267327,1950.9484937881082,32639.955940594056,6297.923104360913,30566.181188118815,4917.924338346615,3801.8316831683114,1699.4732673267354,0.14705882352941146,0.06079358194812423,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2011-04-01,27373.18811881188,2011,4,2,4,13,0,29654.287128712873,25852.45544554456,28513.737623762376,42649.01089108911,30463.579207920793,25804.443564356432,27626.643564356436,1913.5466505791437,31945.693234323437,6662.633012463534,30696.9099009901,4799.259008727588,-2281.099009900994,1568.7445544554466,-0.0769230769230771,0.06079358194812401,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0
